"year","category","winners","nominees"
"1936","Writing (Original Story)","Ben Hecht, Charles MacArthur - The Scoundrel","Moss Hart - Broadway Melody of 1936, Gregory Rogers - G-Men, Don Hartman, Stephen Avery - The Gay Deception"
"1936","Writing (Screenplay)","Dudley Nichols - The Informer","Casey Robinson - Captain Blood, Screenplay by Waldemar Young, John L. Balderston, Achmed Abdullah; Adaptation by Grover Jones, William Slavens McNutt - The Lives of a Bengal Lancer, Talbot Jennings, Jules Furthman, Carey Wilson - Mutiny on the Bounty"
"1937","Actor","Paul Muni - The Story of Louis Pasteur","Gary Cooper - Mr. Deeds Goes to Town, Walter Huston - Dodsworth, William Powell - My Man Godfrey, Spencer Tracy - San Francisco"
"1937","Actor in a Supporting Role","Walter Brennan - Come and Get It","Mischa Auer - My Man Godfrey, Stuart Erwin - Pigskin Parade, Basil Rathbone - Romeo and Juliet, Akim Tamiroff - The General Died at Dawn"
"1937","Actress","Luise Rainer - The Great Ziegfeld","Irene Dunne - Theodora Goes Wild, Gladys George - Valiant Is the Word for Carrie, Carole Lombard - My Man Godfrey, Norma Shearer - Romeo and Juliet"
"1937","Actress in a Supporting Role","Gale Sondergaard - Anthony Adverse","Beulah Bondi - The Gorgeous Hussy, Alice Brady - My Man Godfrey, Bonita Granville - These Three, Maria Ouspenskaya - Dodsworth"
"1937","Art Direction","Richard Day - Dodsworth","Anton Grot - Anthony Adverse, Cedric Gibbons, Eddie Imazu, Edwin B. Willis - The Great Ziegfeld, William S. Darling - Lloyds of London, Albert S. D'Agostino, Jack Otterson - The Magnificent Brute, Cedric Gibbons, Frederic Hope, Edwin B. Willis - Romeo and Juliet, Perry Ferguson - Winterset"
"1937","Assistant Director","Jack Sullivan - The Charge of the Light Brigade","William Cannon - Anthony Adverse, Eric G. Stacey - The Garden of Allah, Clem Beauchamp - The Last of the Mohicans, Joseph Newman - San Francisco"
"1937","Cinematography","Gaetano Gaudio - Anthony Adverse","Victor Milner - The General Died at Dawn, George Folsey - The Gorgeous Hussy"
"1937","Dance Direction","""A Pretty Girl Is Like a Melody"" from ""The Great Ziegfeld"" - The Great Ziegfeld","""Love and War"" from ""Gold Diggers of 1937"" - Gold Diggers of 1937, ""1000 Love Songs"" from ""Cain and Mabel"" - Cain and Mabel, ""Swingin' the Jinx"" from ""Born to Dance"" - Born to Dance, ""Skating Ensemble"" from ""One in a Million"" - One in a Million, ""The Finale"" from ""Dancing Pirate"" - Dancing Pirate, ""Bojangles of Harlem"" from ""Swing Time"" - Swing Time"
"1937","Directing","Frank Capra - Mr. Deeds Goes to Town","William Wyler - Dodsworth, Robert Z. Leonard - The Great Ziegfeld, Gregory La Cava - My Man Godfrey, W. S. Van Dyke - San Francisco"
"1937","Film Editing","Ralph Dawson - Anthony Adverse","Edward Curtiss - Come and Get It, William S. Gray - The Great Ziegfeld, Barbara McLean - Lloyds of London, Conrad A. Nervig - A Tale of Two Cities, Otto Meyer - Theodora Goes Wild"
"1937","Music (Scoring)","Warner Bros. Studio Music Department, Leo Forbstein, head of department (Score by Erich Wolfgang Korngold) - Anthony Adverse","Warner Bros. Studio Music Department, Leo Forbstein, head of department (Score by Max Steiner) - The Charge of the Light Brigade, Selznick International Pictures Music Department, Max Steiner, head of department (Score by Max Steiner) - The Garden of Allah, Paramount Studio Music Department, Boris Morros, head of department (Score by Werner Janssen) - The General Died at Dawn, RKO Radio Studio Music Department, Nathaniel Shilkret, head of department (Score by Nathaniel Shilkret) - Winterset"
"1937","Music (Song)","The Way You Look Tonight in ""Swing Time"" Music by Jerome Kern; Lyrics by Dorothy Fields - Swing Time","Did I Remember in ""Suzy"" Music by Walter Donaldson; Lyrics by Harold Adamson - Suzy, I've Got You Under My Skin in ""Born to Dance"" Music and Lyrics by Cole Porter - Born to Dance, A Melody From The Sky in ""Trail of the Lonesome Pine"" Music by Louis Alter; Lyrics by Sidney Mitchell - Trail of the Lonesome Pine, Pennies From Heaven in ""Pennies from Heaven"" Music by Arthur Johnston; Lyrics by Johnny Burke - Pennies from Heaven, When Did You Leave Heaven in ""Sing, Baby, Sing"" Music by Richard A. Whiting; Lyrics by Walter Bullock - Sing, Baby, Sing"
"1937","Outstanding Production","Metro-Goldwyn-Mayer - The Great Ziegfeld","Warner Bros. - Anthony Adverse, Samuel Goldwyn Productions - Dodsworth, Metro-Goldwyn-Mayer - Libeled Lady, Columbia - Mr. Deeds Goes to Town, Metro-Goldwyn-Mayer - Romeo and Juliet, Metro-Goldwyn-Mayer - San Francisco, Cosmopolitan - The Story of Louis Pasteur, Metro-Goldwyn-Mayer - A Tale of Two Cities, Universal - Three Smart Girls"
"1937","Short Subject (Cartoon)","Walt Disney, Producer - The Country Cousin","Harman-Ising - Old Mill Pond, Paramount - Sinbad the Sailor"
"1937","Short Subject (Color)","Warner Bros. - Give Me Liberty","Lewis Lewyn, Producer - La Fiesta de Santa Barbara, Paramount - Popular Science J-6-2"
"1937","Short Subject (One-reel)","Hal Roach, Producer - Bored of Education","Paramount - Moscow Moods, Pete Smith, Producer - Wanted, a Master"
"1937","Short Subject (Two-reel)","Metro-Goldwyn-Mayer - The Public Pays","Warner Bros. - Double or Nothing, RKO Radio - Dummy Ache"
"1937","Sound Recording","Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director - San Francisco","20th Century-Fox Studio Sound Department, E. H. Hansen, Sound Director - Banjo on My Knee, Warner Bros. Studio Sound Department, Nathan Levinson, Sound Director - The Charge of the Light Brigade, United Artists Studio Sound Department, Thomas T. Moulton, Sound Director - Dodsworth, Hal Roach Studio Sound Department, Elmer A. Raguse, Sound Director - General Spanky, Columbia Studio Sound Department, John Livadary, Sound Director - Mr. Deeds Goes to Town, Paramount Studio Sound Department, Franklin B. Hansen, Sound Director - The Texas Rangers, RKO Radio Studio Sound Department, J. O. Aalberg, Sound Director - That Girl from Paris, Universal Studio Sound Department, Homer G. Tasker, Sound Director - Three Smart Girls"
"1937","Special Award","Special Award - The Garden of Allah",""
"1937","Writing (Original Story)","Pierre Collings, Sheridan Gibney - The Story of Louis Pasteur","Norman Krasna - Fury, William Anthony McGuire - The Great Ziegfeld, Robert Hopkins - San Francisco, Adele Comandini - Three Smart Girls"
